id,name,asset,status,operator,vintage,spudDate,completionDate,firstProductionDate,fieldName,basin,county,state,country,api,wellType,lateralLength,totalDepth,drillingDays,rigCrew,wellCost,completionType,completionDate,proppantLoaded,fluidPumped,stages,clusterSpacing,currentProduction,ip30,ip90,ip180,cumulativeOil,cumulativeGas,cumulativeWater,waterCut,gor,npv,irr,breakEven,eur,reservoirPressure,bottomholeTemperature,permeability,porosity,oilSaturation,payThickness,notes
W-001,Imor-Alpha-001,Imor 1,Active,Okhiku Energy,2021,2021-01-15,2021-02-28,2021-03-05,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-001,Horizontal,4850,12500,22,Crew-A,8.2,Slickwater,2021-02-28,3200000,185000,28,45,520,750,580,480,425000,1280000,85000,16.3,2.46,15.8,38.5,42.5,625,4250,215,85,18.5,65,125,High IP well
W-002,Imor-Alpha-002,Imor 1,Active,Okhiku Energy,2021,2021-02-10,2021-03-25,2021-04-01,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-002,Horizontal,5100,12800,25,Crew-B,8.8,Hybrid,2021-03-25,3500000,195000,30,42,485,720,560,470,410000,1250000,92000,18.3,2.52,14.2,36.8,44.2,598,4180,212,82,18.2,63,128,Good performer
W-003,Imor-Alpha-003,Imor 1,Active,Okhiku Energy,2021,2021-03-20,2021-05-05,2021-05-12,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-003,Horizontal,4650,12200,20,Crew-A,7.9,Slickwater,2021-05-05,3100000,180000,26,48,445,680,525,440,385000,1180000,78000,16.8,2.58,13.5,34.2,41.8,568,4120,218,88,18.8,66,122,Solid production
W-004,Imor-Alpha-004,Imor 1,Active,Okhiku Energy,2022,2022-01-08,2022-02-20,2022-02-27,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-004,Horizontal,5200,13000,24,Crew-C,9.1,Hybrid,2022-02-20,3600000,200000,32,40,510,740,575,485,395000,1220000,88000,18.2,2.48,15.1,37.2,43.5,612,4200,210,84,18.4,64,130,Enhanced completion
W-005,Imor-Alpha-005,Imor 1,Active,Okhiku Energy,2022,2022-02-15,2022-03-30,2022-04-06,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-005,Horizontal,4900,12600,21,Crew-A,8.5,Slickwater,2022-03-30,3300000,190000,29,44,475,705,545,460,378000,1165000,82000,17.8,2.54,13.8,35.5,42.2,585,4150,214,86,18.6,65,126,Standard performance
W-006,Imor-Beta-006,Imor 1,Active,Okhiku Energy,2022,2022-04-10,2022-05-25,2022-06-01,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-006,Horizontal,5300,13200,26,Crew-B,9.4,Gel,2022-05-25,3800000,210000,34,38,535,765,595,505,408000,1265000,95000,18.9,2.44,16.2,39.8,44.8,638,4280,208,80,18.1,62,132,High performer
W-007,Imor-Beta-007,Imor 1,Active,Okhiku Energy,2023,2023-01-12,2023-02-24,2023-03-03,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-007,Horizontal,5000,12750,23,Crew-C,8.7,Hybrid,2023-02-24,3400000,195000,30,42,490,725,560,475,368000,1142000,80000,17.9,2.50,14.5,36.2,42.8,595,4175,213,85,18.5,64,127,Recent vintage
W-008,Imor-Beta-008,Imor 1,Shut-in,Okhiku Energy,2023,2023-02-20,2023-04-05,2023-04-12,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-008,Horizontal,4800,12450,19,Crew-A,8.3,Slickwater,2023-04-05,3250000,187000,28,45,0,695,540,455,285000,882000,68000,19.2,2.62,8.5,28.5,38.5,465,4100,220,90,19.2,68,120,Temporarily shut-in
W-009,Imor-Beta-009,Imor 1,Active,Okhiku Energy,2023,2023-05-15,2023-06-28,2023-07-05,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-009,Horizontal,5150,12900,24,Crew-B,9.0,Hybrid,2023-06-28,3550000,198000,31,41,505,735,570,482,312000,968000,75000,19.4,2.49,15.8,37.8,43.2,608,4220,211,83,18.3,63,129,Strong well
W-010,Imor-Beta-010,Imor 1,Active,Okhiku Energy,2024,2024-01-10,2024-02-22,2024-02-29,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-010,Horizontal,5250,13100,25,Crew-C,9.3,Gel,2024-02-22,3750000,208000,33,39,525,755,585,495,185000,574000,48000,20.6,2.45,17.2,40.5,45.2,645,4260,209,81,18.2,62,131,Latest vintage
